Category,Tag,Repository,Stars,Language,Link,Description (EN),Description (RU)
Analysis,data-science,2026-AI-College-Jobs,5018,Multi,https://github.com/speedyapply/2026-AI-College-Jobs,2026 AI/ML internship & new graduate job list updated daily,Стажировка AI/ML на 2026 год и список новых вакансий для выпускников обновляется ежедневно
Design,design-system,gluestack-ui,5014,TypeScript,https://github.com/gluestack/gluestack-ui,React & React Native Components & Patterns (copy-paste components & patterns crafted with Tailwind CSS (NativeWind)),"React & React Native Components & Patterns (копирование и вставка компонентов и шаблонов, созданных с помощью Tailwind CSS (NativeWind))"
Encryption,security-tools,Nettacker,5003,Python,https://github.com/OWASP/Nettacker,Automated Penetration Testing Framework - Open-Source Vulnerability Scanner - Vulnerability Management,Платформа автоматизированного тестирования на проникновение — сканер уязвимостей с открытым исходным кодом — управление уязвимостями
Analysis,data-analysis,machine_learning_complete,4996,Jupyter Notebook,https://github.com/Nyandwi/machine_learning_complete,"A comprehensive machine learning repository containing 30+ notebooks on different concepts, algorithms and techniques.","Комплексный репозиторий машинного обучения, содержащий более 30 блокнотов по различным концепциям, алгоритмам и методам."
Encryption,security-tools,cameradar,4970,Go,https://github.com/Ullaakut/cameradar,Cameradar hacks its way into RTSP videosurveillance cameras,Cameradar взломал камеры видеонаблюдения RTSP
Encryption,encryption,qTox,4961,C++,https://github.com/qTox/qTox,"qTox is a chat, voice, video, and file transfer IM client using the encrypted peer-to-peer Tox protocol.","qTox — это клиент обмена мгновенными сообщениями, голосовой связи, видео и передачи файлов, использующий зашифрованный одноранговый протокол Tox."
Analysis,data-science,telegram-list,4937,Multi,https://github.com/goq/telegram-list,"List of telegram groups, channels & bots // Список интересных групп, каналов и ботов телеграма // Список чатов для программистов","List of telegram groups, channels & bots // Список интересных групп, каналов и ботов телеграма // Список чатов для программистов"
Analysis,data-analysis,Awesome-Geospatial,4932,Multi,https://github.com/sacridini/Awesome-Geospatial,Long list of geospatial tools and resources,Длинный список геопространственных инструментов и ресурсов
Analysis,data-science,course-v3,4920,Jupyter Notebook,https://github.com/fastai/course-v3,The 3rd edition of course.fast.ai,3-е издание курса.fast.ai
Encryption,encryption,backup,4874,Ruby,https://github.com/backup/backup,Easy full stack backup operations on UNIX-like systems.,Простые операции полного резервного копирования в UNIX-подобных системах.
Analysis,data-science,pytorch-forecasting,4854,Python,https://github.com/sktime/pytorch-forecasting,Time series forecasting with PyTorch,Прогнозирование временных рядов с помощью PyTorch
Statistics,statistics,edward,4844,Jupyter Notebook,https://github.com/blei-lab/edward,"A probabilistic programming language in TensorFlow. Deep generative models, variational inference.","Вероятностный язык программирования в TensorFlow. Глубокие генеративные модели, вариационный вывод."
Analysis,data-analysis,matplotplusplus,4832,C++,https://github.com/alandefreitas/matplotplusplus,Matplot++: A C++ Graphics Library for Data Visualization 📊🗾,Matplot++: графическая библиотека C++ для визуализации данных 📊🗾
Analysis,data-science,interviews.ai,4821,Multi,https://github.com/BoltzmannEntropy/interviews.ai,"It is my belief that you, the postgraduate students and job-seekers for whom the book is primarily meant will benefit from reading it; however, it is my hope that even the most experienced researchers will find it fascinating as well.","Я уверен, что вам, аспирантам и соискателям, для которых эта книга в первую очередь предназначена, будет полезно ее прочитать; однако я надеюсь, что даже самые опытные исследователи найдут это увлекательным."
Analysis,data-analysis,weibospider,4800,Python,https://github.com/SpiderClub/weibospider,":zap: A distributed crawler for weibo, building with celery and requests.",":zap: Распределенный сканер для Weibo, сборка из сельдерея и запросов."
Statistics,statistics,statsforecast,4742,Python,https://github.com/Nixtla/statsforecast,Lightning ⚡️ fast forecasting with statistical and econometric models.,Молниеносное ⚡️ быстрое прогнозирование с помощью статистических и эконометрических моделей.
Analysis,data-science,competition-baseline,4736,Jupyter Notebook,https://github.com/datawhalechina/competition-baseline,数据挖掘、计算机视觉、自然语言处理、推荐系统竞赛知识、代码、思路,"Интеллектуальный анализ данных, компьютерное зрение, обработка естественного языка, рекомендательная система, конкурентные знания, код, идеи"
Analysis,data-science,Flux.jl,4719,Julia,https://github.com/FluxML/Flux.jl,Relax! Flux is the ML library that doesn't make you tensor,"Расслабляться! Flux — это библиотека машинного обучения, которая не делает вас тензорным"
Analysis,data-analysis,whodb,4707,Go,https://github.com/clidey/whodb,"A lightweight next-gen data explorer - Postgres, MySQL, SQLite, MongoDB, Redis, MariaDB, Elastic Search, and Clickhouse with Chat interface","Легкий проводник данных нового поколения — Postgres, MySQL, SQLite, MongoDB, Redis, MariaDB, Elastic Search и Clickhouse с интерфейсом чата."
Encryption,cryptography,s2n-tls,4700,C,https://github.com/aws/s2n-tls,An implementation of the TLS/SSL protocols,Реализация протоколов TLS/SSL.
Design,design-system,next,4681,TypeScript,https://github.com/alibaba-fusion/next,🦍 A configurable component library for web built on React. ,"🦍 Настраиваемая библиотека веб-компонентов, созданная на основе React."
Analysis,data-analysis,pydata-notebook,4668,Jupyter Notebook,https://github.com/BrambleXu/pydata-notebook,利用Python进行数据分析 第二版 (2017) 中文翻译笔记,Использование Python для анализа данных. Второе издание (2017 г.). Примечания к китайскому переводу.
Analysis,data-science,nlpaug,4654,Jupyter Notebook,https://github.com/makcedward/nlpaug,Data augmentation for NLP ,Увеличение данных для НЛП
Statistics,statistics,ML-foundations,4645,Jupyter Notebook,https://github.com/jonkrohn/ML-foundations,"Machine Learning Foundations: Linear Algebra, Calculus, Statistics & Computer Science","Основы машинного обучения: линейная алгебра, исчисление, статистика и информатика"
Analysis,data-analysis,Rath,4624,TypeScript,https://github.com/Kanaries/Rath,Next generation of automated data exploratory analysis and visualization platform.,Следующее поколение платформы автоматизированного исследовательского анализа и визуализации данных.
Encryption,encryption,ockam,4609,Rust,https://github.com/build-trust/ockam,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between distributed applications – at massive scale.","Организуйте сквозное шифрование, криптографическую идентификацию, взаимную аутентификацию и политики авторизации между распределенными приложениями — в больших масштабах."
Statistics,statistics,datascience,4601,Multi,https://github.com/r0f1/datascience,Curated list of Python resources for data science.,Кураторский список ресурсов Python для науки о данных.
Analysis,data-science,serenata-de-amor,4594,Python,https://github.com/okfn-brasil/serenata-de-amor,🕵 Artificial Intelligence for social control of public administration | **This repository does not receive frequent updates. Check out the README**,🕵 Искусственный интеллект для социального контроля государственного управления | **Этот репозиторий не получает частых обновлений. Ознакомьтесь с README**
Encryption,security-tools,Android-PIN-Bruteforce,4593,Shell,https://github.com/urbanadventurer/Android-PIN-Bruteforce,"Unlock an Android phone (or device) by bruteforcing the lockscreen PIN. Turn your Kali Nethunter phone into a bruteforce PIN cracker for Android devices! (no root, no adb)","Разблокируйте телефон (или устройство) Android, перебрав PIN-код экрана блокировки. Превратите свой телефон Kali Nethunter в взломщик PIN-кодов для устройств Android! (без рута, без adb)"
Statistics,statistics,cracking-the-data-science-interview,4591,Jupyter Notebook,https://github.com/khanhnamle1994/cracking-the-data-science-interview,"A Collection of Cheatsheets, Books, Questions, and Portfolio For DS/ML Interview Prep","Сборник шпаргалок, книг, вопросов и портфолио для подготовки к собеседованию DS/ML"
Statistics,statistics,framework,4547,C#,https://github.com/accord-net/framework,"Machine learning, computer vision, statistics and general scientific computing for .NET","Машинное обучение, компьютерное зрение, статистика и общенаучные вычисления для .NET."
Design,design-system,geist-ui,4543,TypeScript,https://github.com/geist-org/geist-ui,A design system for building modern websites and applications.,Дизайн-система для создания современных веб-сайтов и приложений.
Analysis,data-analysis,plotnine,4536,Python,https://github.com/has2k1/plotnine,A Grammar of Graphics for Python,Грамматика графики для Python
Encryption,security-tools,IntelOwl,4529,Python,https://github.com/intelowlproject/IntelOwl,IntelOwl: manage your Threat Intelligence at scale,IntelOwl: масштабируйте свою аналитику угроз
Encryption,security-tools,securityonion,4529,Shell,https://github.com/Security-Onion-Solutions/securityonion,"Security Onion is a free and open platform for threat hunting, enterprise security monitoring, and log management. It includes our own interfaces for alerting, dashboards, hunting, PCAP, detections, and case management. It also includes other tools such as osquery, CyberChef, Elasticsearch, Logstash, Kibana, Suricata, and Zeek.","Security Onion — это бесплатная и открытая платформа для поиска угроз, мониторинга безопасности предприятия и управления журналами. Он включает в себя наши собственные интерфейсы для оповещений, информационных панелей, поиска, PCAP, обнаружения и управления делами. Он также включает в себя другие инструменты, такие как osquery, CyberChef, Elasticsearch, Logstash, Kibana, Suricata и Zeek."
Encryption,cryptography,snarkOS,4525,Rust,https://github.com/ProvableHQ/snarkOS,A Decentralized Operating System for ZK Applications,Децентрализованная операционная система для приложений ZK
Forecasting,forecasting,Merlion,4471,Python,https://github.com/salesforce/Merlion,Merlion: A Machine Learning Framework for Time Series Intelligence,Merlion: платформа машинного обучения для анализа временных рядов
Analysis,data-analysis,running_page,4421,Python,https://github.com/yihong0618/running_page,Make your own running home page,Создайте свою собственную домашнюю страницу по бегу
Statistics,statistics,probability,4414,Jupyter Notebook,https://github.com/tensorflow/probability,Probabilistic reasoning and statistical analysis in TensorFlow,Вероятностные рассуждения и статистический анализ в TensorFlow
Encryption,encryption,buttercup-desktop,4410,TypeScript,https://github.com/buttercup/buttercup-desktop,:key: Cross-Platform Passwords & Secrets Vault,:key: Межплатформенное хранилище паролей и секретов
Encryption,encryption,hive,4395,Dart,https://github.com/isar/hive,Lightweight and blazing fast key-value database written in pure Dart.,"Легкая и невероятно быстрая база данных «ключ-значение», написанная на чистом Dart."
Forecasting,predictive-modeling,ISLR-python,4395,Jupyter Notebook,https://github.com/JWarmenhoven/ISLR-python,"An Introduction to Statistical Learning (James, Witten, Hastie, Tibshirani, 2013): Python code","Введение в статистическое обучение (Джеймс, Виттен, Хасти, Тибширани, 2013): код Python"
Encryption,security-tools,ApplicationInspector,4389,C#,https://github.com/microsoft/ApplicationInspector,A source code analyzer built for surfacing features of interest and other characteristics to answer the question 'What's in the code?' quickly using static analysis with a json based rules engine. Ideal for scanning components before use or detecting feature level changes.,"Анализатор исходного кода, созданный для выявления интересующих функций и других характеристик, чтобы ответить на вопрос «Что в коде?» быстро с помощью статического анализа с обработчиком правил на основе JSON. Идеально подходит для сканирования компонентов перед использованием или обнаружения изменений уровня функций."
Encryption,encryption,gocryptfs,4383,Go,https://github.com/rfjakob/gocryptfs,Encrypted overlay filesystem written in Go,"Зашифрованная оверлейная файловая система, написанная на Go."
Forecasting,time-series,crate,4379,Java,https://github.com/crate/crate,"CrateDB is a distributed and scalable SQL database for storing and analyzing massive amounts of data in near real-time, even with complex queries. It is PostgreSQL-compatible, and based on Lucene.","CrateDB — это распределенная и масштабируемая база данных SQL для хранения и анализа огромных объемов данных практически в реальном времени, даже при выполнении сложных запросов. Он совместим с PostgreSQL и основан на Lucene."
Statistics,statistics,your_spotify,4357,TypeScript,https://github.com/Yooooomi/your_spotify,Self hosted Spotify tracking dashboard,Самостоятельная панель отслеживания Spotify
Design,design-system,gestalt,4348,TypeScript,https://github.com/pinterest/gestalt,A set of React UI components that supports Pinterest’s design language,"Набор компонентов пользовательского интерфейса React, поддерживающих язык дизайна Pinterest."
Analysis,data-analysis,sql-translator,4314,TypeScript,https://github.com/whoiskatrin/sql-translator,SQL Translator is a tool for converting natural language queries into SQL code using artificial intelligence. This project is 100% free and open source.,SQL Translator — это инструмент для преобразования запросов на естественном языке в код SQL с использованием искусственного интеллекта. Этот проект на 100% бесплатный и с открытым исходным кодом.
Encryption,security-tools,black-hat-rust,4305,Rust,https://github.com/skerkour/black-hat-rust,Applied offensive security with Rust  - https://kerkour.com/black-hat-rust,Применена наступательная безопасность с помощью Rust - https://kerkour.com/black-hat-rust
Analysis,data-analysis,briefer,4292,TypeScript,https://github.com/briefercloud/briefer,"Dashboards and notebooks in a single place. Create powerful and flexible dashboards using code, or build beautiful Notion-like notebooks and share them with your team.",Дашборды и блокноты в одном месте. Создавайте мощные и гибкие информационные панели с помощью кода или создавайте красивые блокноты в стиле Notion и делитесь ими со своей командой.
Encryption,encryption,local-deep-research,4264,Python,https://github.com/LearningCircuit/local-deep-research,"Local Deep Research achieves ~95% on SimpleQA benchmark (tested with GPT-4.1-mini). Supports local and cloud LLMs (Ollama, Google, Anthropic, ...). Searches 10+ sources - arXiv, PubMed, web, and your private documents. Everything Local & Encrypted.","Local Deep Research достигает ~95 % в тесте SimpleQA (проверено с использованием GPT-4.1-mini). Поддерживает локальные и облачные LLM (Ollama, Google, Anthropic, ...). Ищет более 10 источников — arXiv, PubMed, Интернет и ваши личные документы. Все локально и зашифровано."
Forecasting,forecasting,neural_prophet,4262,Python,https://github.com/ourownstory/neural_prophet,NeuralProphet: A simple forecasting package,NeuralProphet: простой пакет прогнозирования
Encryption,security-tools,blackhat-arsenal-tools,4252,Multi,https://github.com/toolswatch/blackhat-arsenal-tools,Official Black Hat Arsenal Security Tools Repository,Официальный репозиторий инструментов безопасности Black Hat Arsenal
Encryption,encryption,Harden-Windows-Security,4203,C#,https://github.com/HotCakeX/Harden-Windows-Security,"Harden Windows Safely, Securely using Official Supported Microsoft methods and proper explanation | Always up-to-date and works with the latest build of Windows | Provides tools and Guides for Personal, Enterprise, Government and Military security levels | SLSA Level 3 Compliant for Secure Development and Build Process | Apps Available on MS Store✨","Укрепите Windows безопасно и надежно, используя официально поддерживаемые методы Microsoft и правильное объяснение | Всегда актуально и работает с последней сборкой Windows | Предоставляет инструменты и руководства для личного, корпоративного, государственного и военного уровня безопасности | Соответствие SLSA уровня 3 для безопасного процесса разработки и сборки | Приложения доступны в MS Store✨"
Statistics,statistics,Data-Science-Roadmap,4202,Multi,https://github.com/Moataz-Elmesmary/Data-Science-Roadmap,Data Science Roadmap from A to Z,Дорожная карта науки о данных от А до Я
Analysis,data-analysis,missingno,4197,Python,https://github.com/ResidentMario/missingno,Missing data visualization module for Python.,Отсутствует модуль визуализации данных для Python.
Analysis,data-analysis,Data-science,4194,Jupyter Notebook,https://github.com/CodeCutTech/Data-science,"Collection of useful data science topics along with articles, videos, and code","Сборник полезных тем по науке о данных, а также статей, видеороликов и кода."
Encryption,cryptography,cli,4177,Go,https://github.com/smallstep/cli,"🧰  A zero trust swiss army knife for working with X509, OAuth, JWT, OATH OTP, etc.","🧰 Швейцарский армейский нож с нулевым доверием для работы с X509, OAuth, JWT, OATH OTP и т. д."
Analysis,data-analysis,python-mini-project,4164,Python,https://github.com/ndleah/python-mini-project,🙌 Welcome open-source Python mini-project contributions!,🙌 Приветствуем участие в мини-проектах Python с открытым исходным кодом!
Encryption,cryptography,end-to-end,4135,JavaScript,https://github.com/google/end-to-end,"End-To-End is a crypto library to encrypt, decrypt, digital sign, and verify signed messages (implementing OpenPGP)","End-To-End — это криптобиблиотека для шифрования, дешифрования, цифровой подписи и проверки подписанных сообщений (реализующая OpenPGP)."
Encryption,cryptography,ring,4069,Assembly,https://github.com/briansmith/ring,An experiment.,Эксперимент.
Encryption,encryption,hawk,4064,Java,https://github.com/orhanobut/hawk,"✔️ Secure, simple key-value storage for Android",✔️ Безопасное и простое хранилище ключей и значений для Android.
Encryption,security-tools,Anthropic-Cybersecurity-Skills,4048,Python,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,"753+ structured cybersecurity skills for AI agents · MITRE ATT&CK mapped · agentskills.io open standard · Works with Claude Code, GitHub Copilot, OpenAI Codex CLI, Cursor, Gemini CLI & 20+ platforms · Penetration testing, DFIR, threat intel, cloud security & more · Apache 2.0","Более 753 структурированных навыков кибербезопасности для агентов ИИ · Сопоставлено MITRE ATT&CK · Открытый стандарт Agentskills.io · Работает с Claude Code, GitHub Copilot, OpenAI Codex CLI, Cursor, Gemini CLI и более чем 20 платформами · Тестирование на проникновение, DFIR, информация об угрозах, облачная безопасность и многое другое · Apache 2.0"
Forecasting,forecasting,neuralforecast,4032,Python,https://github.com/Nixtla/neuralforecast,Scalable and user friendly neural :brain: forecasting algorithms.,Масштабируемые и удобные нейронные :brain: алгоритмы прогнозирования.
Encryption,security-tools,zizmor,4027,Rust,https://github.com/zizmorcore/zizmor,Static analysis for GitHub Actions,Статический анализ для действий GitHub
Encryption,encryption,git-secret,4006,Shell,https://github.com/sobolevn/git-secret,:busts_in_silhouette: A bash-tool to store your private data inside a git repository.,:busts_in_silhouette: Инструмент bash для хранения ваших личных данных в репозитории git.
Encryption,cryptography,i2pd,3991,C++,https://github.com/PurpleI2P/i2pd, 🛡 I2P: End-to-End encrypted and anonymous Internet,🛡 I2P: сквозной зашифрованный и анонимный Интернет.
Encryption,encryption,privacyguides.org,3967,Markdown,https://github.com/privacyguides/privacyguides.org,Protect your data against global mass surveillance programs.,Защитите свои данные от глобальных программ массовой слежки.
Encryption,cryptography,SEAL,3963,C++,https://github.com/microsoft/SEAL,Microsoft SEAL is an easy-to-use and powerful homomorphic encryption library.,Microsoft SEAL — это простая в использовании и мощная библиотека гомоморфного шифрования.
Analysis,data-analysis,DeepAnalyze,3953,Python,https://github.com/ruc-datalab/DeepAnalyze,DeepAnalyze is the first agentic LLM for autonomous data science. 🎈你的AI数据分析师，自动分析大量数据，一键生成专业分析报告！,DeepAnalyze — это первая агентская программа LLM для автономной обработки данных. 🎈Ваш аналитик данных с искусственным интеллектом автоматически анализирует большие объемы данных и создает профессиональные аналитические отчеты одним щелчком мыши!
Encryption,security-tools,TorBot,3948,Python,https://github.com/DedSecInside/TorBot,Dark Web OSINT Tool,Инструмент Dark Web OSINT
Forecasting,time-series,ravendb,3928,C#,https://github.com/ravendb/ravendb,ACID Document Database,База данных документов ACID
Psychology,psychology,awesome-social-engineering,3922,Multi,https://github.com/giuliacassara/awesome-social-engineering,A curated list of awesome social engineering resources.,Кураторский список замечательных ресурсов по социальной инженерии.
Encryption,security-tools,htrace.sh,3852,Shell,https://github.com/trimstray/htrace.sh,My simple Swiss Army knife for http/https troubleshooting and profiling.,Мой простой швейцарский нож для устранения неполадок и профилирования http/https.
Encryption,security-tools,pocsuite3,3834,Python,https://github.com/knownsec/pocsuite3,pocsuite3 is an open-sourced remote vulnerability testing framework developed by the Knownsec 404 Team.,"pocsuite3 — это платформа удаленного тестирования уязвимостей с открытым исходным кодом, разработанная командой Knownsec 404."
Design,design-system,react,3827,TypeScript,https://github.com/primer/react,An implementation of GitHub's Primer Design System using React,Реализация системы Primer Design на GitHub с использованием React.
Forecasting,forecasting,nixtla,3820,Jupyter Notebook,https://github.com/Nixtla/nixtla,"TimeGPT-1: production ready pre-trained Time Series Foundation Model  for forecasting and anomaly detection. Generative pretrained transformer for time series trained on over 100B data points. It's capable of accurately predicting various domains such as retail, electricity, finance, and IoT with just a few lines of code 🚀.","TimeGPT-1: готовая к производству предварительно обученная базовая модель временных рядов для прогнозирования и обнаружения аномалий. Генеративный предварительно обученный преобразователь для временных рядов, обученных на более чем 100 млрд точек данных. Он способен точно прогнозировать различные области, такие как розничная торговля, электричество, финансы и Интернет вещей, с помощью всего лишь нескольких строк кода 🚀."
Encryption,security-tools,awesome-hacking,3803,Python,https://github.com/jekil/awesome-hacking,Awesome hacking is an awesome collection of hacking tools.,Awesome hacking — это потрясающая коллекция хакерских инструментов.
Encryption,cryptography,Practical-Cryptography-for-Developers-Book,3786,CSS,https://github.com/nakov/Practical-Cryptography-for-Developers-Book,"Practical Cryptography for Developers: Hashes, MAC, Key Derivation, DHKE, Symmetric and Asymmetric Ciphers, Public Key Cryptosystems, RSA, Elliptic Curves, ECC, secp256k1, ECDH, ECIES, Digital Signatures, ECDSA, EdDSA","Практическая криптография для разработчиков: хэши, MAC, деривация ключей, DHKE, симметричные и асимметричные шифры, криптосистемы с открытым ключом, RSA, эллиптические кривые, ECC, secp256k1, ECDH, ECIES, цифровые подписи, ECDSA, EdDSA"
Encryption,cryptography,stegcloak,3779,JavaScript,https://github.com/KuroLabs/stegcloak,Hide secrets with invisible characters in plain text securely using passwords 🧙🏻‍♂️⭐,Надежно скрывайте секреты с невидимыми символами в виде обычного текста с помощью паролей 🧙🏻‍♂️⭐
Design,design-system,React95,3777,TypeScript,https://github.com/React95/React95,A React components library with Win95 UI,Библиотека компонентов React с пользовательским интерфейсом Win95.
Encryption,cryptography,openssh-portable,3767,C,https://github.com/openssh/openssh-portable,Portable OpenSSH,Портативный OpenSSH
Design,design-system,system.css,3748,CSS,https://github.com/sakofchit/system.css,A design system for building retro Apple interfaces,Дизайн-система для создания ретро-интерфейсов Apple.
Statistics,statistics,tablesaw,3745,Java,https://github.com/jtablesaw/tablesaw,Java dataframe and visualization library,Java-библиотека данных и визуализации
Design,design-system,ui-buttons,3733,CSS,https://github.com/youneslaaroussi/ui-buttons,100 Modern CSS Buttons. Every style that you can imagine.,"100 современных CSS-кнопок. Любой стиль, который только можно себе представить."
Statistics,statistics,mathnet-numerics,3729,C#,https://github.com/mathnet/mathnet-numerics,Math.NET Numerics,Числовые значения Math.NET
Design,design-system,alva,3704,TypeScript,https://github.com/meetalva/alva,Create living prototypes with code components.,Создавайте живые прототипы с помощью компонентов кода.
Encryption,security-tools,HyperDbg,3704,C,https://github.com/HyperDbg/HyperDbg,State-of-the-art native debugging tools,Современные собственные инструменты отладки
Statistics,statistics,AI-Engineer-Headquarters,3665,Jupyter Notebook,https://github.com/hemansnation/AI-Engineer-Headquarters,"A collection of scientific methods, processes, algorithms, and systems to build stories & models.","Коллекция научных методов, процессов, алгоритмов и систем для построения историй и моделей."
Encryption,cryptography,fully-homomorphic-encryption,3631,Multi,https://github.com/google/fully-homomorphic-encryption,An FHE compiler for C++,Компилятор FHE для C++.
Statistics,statistics,Alink,3619,Java,https://github.com/alibaba/Alink,"Alink is the Machine Learning algorithm platform based on Flink, developed by the PAI team of Alibaba computing platform. ","Alink — это платформа алгоритмов машинного обучения на основе Flink, разработанная командой PAI вычислительной платформы Alibaba."
Statistics,statistics,Book5_Essentials-of-Probability-and-Statistics,3601,Jupyter Notebook,https://github.com/Visualize-ML/Book5_Essentials-of-Probability-and-Statistics,Book_5_《统计至简》 |   鸢尾花书：从加减乘除到机器学习；上架！,"Book_5_""Статистика стала проще"" | Iris Book: От сложения, вычитания, умножения и деления к машинному обучению; теперь доступен!"
Statistics,statistics,qsv,3576,Rust,https://github.com/dathere/qsv,Blazing-fast Data-Wrangling toolkit,Невероятно быстрый набор инструментов для обработки данных
Analysis,data-analysis,ml-workspace,3542,Jupyter Notebook,https://github.com/ml-tooling/ml-workspace,🛠 All-in-one web-based IDE specialized for machine learning and data science.,"🛠 Универсальная веб-IDE, специализирующаяся на машинном обучении и обработке данных."
Encryption,security-tools,AppInfoScanner,3522,Python,https://github.com/kelvinBen/AppInfoScanner,"一款适用于以HW行动/红队/渗透测试团队为场景的移动端(Android、iOS、WEB、H5、静态网站)信息收集扫描工具，可以帮助渗透测试工程师、攻击队成员、红队成员快速收集到移动端或者静态WEB站点中关键的资产信息并提供基本的信息输出,如：Title、Domain、CDN、指纹信息、状态信息等。","Инструмент сбора и сканирования информации мобильного терминала (Android, iOS, WEB, H5, статический веб-сайт), подходящий для сценариев действий HW/красной команды/группы тестирования на проникновение. Это может помочь инженерам по тестированию на проникновение, членам группы атаки и членам красной команды быстро собрать ключевую информацию об активах на мобильных терминалах или статических веб-сайтах и ​​обеспечить вывод базовой информации, такой как: заголовок, домен, CDN, информация об отпечатках пальцев, информация о статусе и т. д."
Analysis,data-analysis,VTable,3518,TypeScript,https://github.com/VisActor/VTable,"VTable is not just a high-performance multidimensional data analysis table, but also a grid artist that creates art between rows and columns.","VTable — это не просто высокопроизводительная таблица многомерного анализа данных, но и художник по сетке, который создает искусство между строками и столбцами."
Encryption,security-tools,vulmap,3512,Python,https://github.com/zhzyker/vulmap,"Vulmap 是一款 web 漏洞扫描和验证工具, 可对 webapps 进行漏洞扫描, 并且具备漏洞验证功能","Vulmap — это инструмент сканирования и проверки веб-уязвимостей, который может выполнять сканирование уязвимостей в веб-приложениях и имеет функции проверки уязвимостей."
Statistics,statistics,simple-statistics,3502,JavaScript,https://github.com/simple-statistics/simple-statistics,simple statistics for node & browser javascript,простая статистика для JavaScript узла и браузера
Encryption,encryption,felony,3469,JavaScript,https://github.com/henryboldi/felony,🔑🔥📈 Next Level PGP,🔑🔥📈 PGP следующего уровня
Forecasting,time-series,SDV,3460,Python,https://github.com/sdv-dev/SDV,Synthetic data generation for tabular data,Генерация синтетических данных для табличных данных
Encryption,security-tools,awesome-mobile-security,3456,Multi,https://github.com/vaib25vicky/awesome-mobile-security,An effort to build a single place for all useful android and iOS security related stuff. All references and tools belong to their respective owners. I'm just maintaining it.,"Попытка создать единое место для всех полезных вещей, связанных с безопасностью Android и iOS. Все ссылки и инструменты принадлежат их владельцам. Я просто поддерживаю это."
Encryption,security-tools,Pentest-Windows,3451,Multi,https://github.com/arch3rPro/Pentest-Windows,⚔️Windows11 Penetration Suite Toolkit 🔰 The First Windows Penetration Testing Environment on Mac M Chips,⚔️Набор инструментов Windows11 Penetration Suite 🔰 Первая среда тестирования на проникновение Windows на чипах Mac M
Encryption,security-tools,Ethical-Hacking-Labs,3439,Multi,https://github.com/Samsar4/Ethical-Hacking-Labs,Practical Ethical Hacking Labs 🗡🛡,Практические лаборатории этического взлома 🗡🛡
Analysis,data-analysis,tad,3438,TypeScript,https://github.com/antonycourtney/tad,A desktop application for viewing and analyzing tabular data,Настольное приложение для просмотра и анализа табличных данных.
Encryption,security-tools,emba,3419,Shell,https://github.com/e-m-b-a/emba,EMBA - The firmware security analyzer,EMBA - Анализатор безопасности прошивки
Analysis,data-analysis,echotrace,3415,Multi,https://github.com/ycccccccy/echotrace,"EchoTrace 是一个本地、安全的微信聊天记录导出、分析与年度报告生成工具 | EchoTrace is a local, secure tool for exporting, analyzing, and generating annual reports of WeChat chat records","EchoTrace — это локальный безопасный инструмент для экспорта, анализа и создания годовых отчетов записей чатов WeChat | EchoTrace — это локальный безопасный инструмент для экспорта, анализа и создания годовых отчетов записей чатов WeChat."
Statistics,statistics,github-stats,3412,Python,https://github.com/jstrieb/github-stats,"Better GitHub statistics images for your profile, with stats from private repos too","Улучшенные изображения статистики GitHub для вашего профиля, а также статистика из частных репозиториев."
Encryption,encryption,rage,3395,Rust,https://github.com/str4d/rage,"A simple, secure and modern file encryption tool (and Rust library) with small explicit keys, no config options, and UNIX-style composability.","Простой, безопасный и современный инструмент шифрования файлов (и библиотека Rust) с небольшими явными ключами, без параметров конфигурации и возможностью компоновки в стиле UNIX."
Statistics,statistics,awesome-python-data-science,3385,Multi,https://github.com/krzjoa/awesome-python-data-science,Probably the best curated list of data science software in Python.,"Вероятно, лучший список программного обеспечения для обработки данных на Python."
Analysis,data-analysis,rio,3373,Python,https://github.com/rio-labs/rio,"WebApps in pure Python. No JavaScript, HTML and CSS needed","Веб-приложения на чистом Python. Не требуется JavaScript, HTML и CSS."
Encryption,encryption,jsrsasign,3369,HTML,https://github.com/kjur/jsrsasign,"The 'jsrsasign' (RSA-Sign JavaScript Library) is an opensource free cryptography library supporting RSA/RSAPSS/ECDSA/DSA signing/validation, ASN.1, PKCS#1/5/8 private/public key, X.509 certificate, CRL, OCSP, CMS SignedData, TimeStamp, CAdES and JSON Web Signature/Token in pure JavaScript.","«jsrsasign» (библиотека JavaScript RSA-Sign) — это бесплатная библиотека криптографии с открытым исходным кодом, поддерживающая подписывание/проверку RSA/RSAPSS/ECDSA/DSA, ASN.1, закрытый/открытый ключ PKCS#1/5/8, сертификат X.509, CRL, OCSP, CMS SignedData, TimeStamp, CAdES и веб-подпись/токен JSON на чистом JavaScript."
Design,design-system,system-design-and-architecture,3364,Makefile,https://github.com/puncsky/system-design-and-architecture,Learn how to design large-scale systems. Prep for the system design interview.,Научитесь проектировать крупномасштабные системы. Подготовка к собеседованию по проектированию системы.
Encryption,security-tools,Stowaway,3348,Go,https://github.com/ph4ntonn/Stowaway,👻Stowaway -- Multi-hop Proxy Tool for pentesters,👻Stowaway — многопрофильный прокси-инструмент для пентестеров.
